session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ff18ae1bd6f235d5ae62859,5f627ea43a49581b4438a944,APPROVED,2021-01-03 09:14:16.938000,2021-01-03 09:25:09.791000,652.853,42,217,0,100,2021-01-05 23:07:48.278000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff18ae40c041e5c912b5509,5f2087ce96df3538e09a6680,RETURNED,2021-01-03 09:14:18.104000,2021-01-03 10:01:11.911000,2813.807,41,346,3,100,,8256C4AC,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18b21238d4b0f50e929c1,5ce7b20479642d00197682ea,APPROVED,2021-01-03 09:15:19.052000,2021-01-03 09:24:34.520000,555.468,44,943,0,100,2021-01-05 23:07:53.205000,8256C4AC,United States,United States,Part-Time,English,United States,Female,No
5ff18b28bb7b29102b1293c6,5fbc74d0509ad714fe833fe4,APPROVED,2021-01-03 09:15:25.873000,2021-01-03 09:22:44.696000,438.823,45,64,0,100,2021-01-05 23:08:02.424000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,No
5ff18b6c416cba0ecfb8799a,5fcb625bbe67a989f9556185,APPROVED,2021-01-03 09:16:40.458000,2021-01-03 09:41:30.650000,1490.192,31,44,1,100,2021-01-05 23:08:06.922000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18b6d0a5e7f5dd18f8d30,5f7d75c20288b525407f0410,APPROVED,2021-01-03 09:16:39.765000,2021-01-03 09:37:15.784000,1236.019,30,168,3,99,2021-01-05 23:08:11.469000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18b7e8ac18257ea619ef2,5f4c17256e656770da1ff9ee,APPROVED,2021-01-03 09:16:46.214000,2021-01-03 09:24:37.293000,471.079,35,307,1,100,2021-01-05 23:08:16.318000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff18b84feba310db16beca9,5de33ff0cc246f3633dc01d2,APPROVED,2021-01-03 09:16:52.501000,2021-01-03 09:47:32.951000,1840.45,33,699,9,98,2021-01-05 23:08:23.089000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
5ff18b870b1a440d10051d22,5f0a7dec44c42c19a6c9f6d9,APPROVED,2021-01-03 09:16:55.164000,2021-01-03 09:47:45.409000,1850.245,33,322,0,100,2021-01-05 23:08:29.688000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff18bba0d786d0deeb0a42d,5a791168f49c9a0001f31061,APPROVED,2021-01-03 09:17:46.106000,2021-01-03 09:35:51.561000,1085.455,43,1567,1,100,2021-01-05 23:08:35.264000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
